,winner,number_of_matches
533,104291,4
534,104297,0
535,200553,0
536,106348,0
537,206703,0
538,106353,0
539,104308,0
540,104312,14
541,106361,0
542,206716,1
543,126845,1
544,126846,1
545,200574,1
546,106368,2
547,104327,3
548,106378,19
549,106388,1
550,106391,0
551,106393,1
552,133018,3
553,106396,0
554,106397,2
555,106398,2
556,206748,1
557,206750,1
558,106401,9
559,200611,2
560,200615,7
561,106408,1
562,106410,0
563,200619,0
564,200620,2
565,106412,0
566,106415,26
567,206768,0
568,200624,6
569,106421,38
570,106423,0
571,106426,30
572,106432,28
573,104386,0
574,110536,0
575,120792,0
576,126939,0
577,200670,5
578,126952,15
579,104424,6
580,126964,1
