,winner,number_of_matches
217,123983,0
218,105554,2
219,105561,2
220,105566,1
221,207971,1
222,207972,1
223,207973,1
224,105575,25
225,103529,2
226,105578,1
227,105577,23
228,124014,11
229,105583,48
230,105585,3
231,105587,1
232,105589,10
233,124022,2
234,207989,0
235,109698,1
236,109699,0
237,208004,0
238,105606,1
239,103565,3
240,126094,43
241,105614,13
242,105613,4
243,111761,3
244,207830,0
245,126102,1
246,105626,3
247,208028,1
248,208029,1
249,105633,5
250,105634,5
251,126120,1
252,105641,1
253,109739,41
254,105643,29
255,126125,1
256,111790,1
257,124079,2
258,206000,1
259,105649,2
260,111794,6
261,111795,1
262,126127,1
263,111797,50
264,126128,0
265,103607,10
266,105656,3
267,105657,40
268,208055,0
269,132283,11
270,111805,1
271,138431,1
272,105668,0
273,126149,0
274,111815,37
275,105671,10
276,105676,45
277,126156,0
278,105683,51
279,124116,4
280,105688,2
281,105691,1
282,122078,3
283,126174,3
284,124126,1
285,208103,0
286,105707,2
287,208108,0
288,126190,1
289,136440,3
290,124154,0
291,126203,43
292,126204,2
293,126205,4
294,122109,2
295,126207,54
296,105723,0
297,144642,0
298,105731,0
299,105732,45
300,144645,1
301,126214,0
302,208134,0
303,144650,0
304,201995,0
305,105747,4
306,132374,0
307,124186,0
308,124187,4
309,105757,1
310,126237,0
311,126239,0
312,144687,0
313,105777,43
314,200000,16
315,144707,9
316,200005,5
317,105806,33
318,105807,53
319,144719,24
320,202065,0
321,105812,2
322,105815,36
323,105819,9
324,206173,0
325,200031,1
326,105827,3
327,103781,3
328,208230,0
329,202090,1
330,200045,1
331,144750,5
332,105841,0
333,105842,3
334,202103,0
335,144760,3
336,126328,0
337,206199,0
338,200059,8
339,122236,1
340,132482,4
341,126340,1
342,208260,0
343,144775,0
344,144776,2
345,202120,0
346,103819,59
347,200075,1
348,105870,7
349,202130,1
350,105877,0
351,105882,10
352,200095,2
353,144807,1
354,105899,3
355,103852,43
356,105902,8
357,144817,4
358,105906,0
359,105905,0
360,202165,2
361,144826,1
362,122298,0
363,105916,50
364,144841,0
365,105932,57
366,105933,5
367,105935,1
368,105936,31
369,202195,0
370,103893,21
371,105943,2
372,103898,19
373,122330,5
374,105948,2
375,105952,1
376,202210,1
377,105954,0
378,105960,1
379,105961,1
380,105963,0
381,208364,0
382,103917,14
383,105967,12
384,200175,2
385,200181,0
386,144895,14
387,105985,3
388,202246,0
389,105992,43
390,106000,56
391,106005,3
392,202262,0
393,134677,0
394,202261,0
395,200218,2
396,200221,0
397,103970,27
398,144932,0
399,106021,1
400,126502,1
401,126504,0
402,106026,14
403,106031,0
404,106032,0
405,106034,0
406,144946,0
407,103990,2
408,200247,0
409,200250,1
410,106043,58
411,106044,20
412,106045,25
413,126526,2
414,126523,2
415,202300,0
416,126530,2
417,126535,3
418,200265,0
419,106058,30
420,200267,0
421,200273,4
422,106065,46
423,200274,1
424,104022,25
425,106071,16
426,144984,0
427,144985,0
428,106072,4
429,200278,2
430,208476,0
431,200282,52
432,106075,13
433,138845,1
434,138846,2
435,106078,6
436,126555,0
437,120424,13
438,200303,0
439,134770,15
440,106099,4
441,202358,2
442,145016,0
443,106105,3
444,106106,1
445,106109,8
446,106110,4
447,200325,6
448,208518,0
449,106120,6
450,106121,35
451,202382,1
452,200335,0
453,202385,1
454,126610,38
455,126609,0
456,126612,0
457,126613,1
458,200343,0
459,106137,0
460,106138,1
461,202400,0
462,106148,31
463,122533,0
464,106150,3
465,200368,0
466,122548,3
467,106167,2
468,104122,6
469,126652,4
470,106174,1
471,106175,4
472,200384,1
473,106177,2
474,200390,0
475,126663,0
476,106186,5
477,122570,0
478,200401,1
479,134868,2
480,208597,0
481,106198,1
482,106203,0
483,202462,2
484,106210,34
485,134886,1
486,106214,3
487,106216,8
488,106218,2
489,202475,0
490,106220,1
491,106223,0
492,106227,0
493,104180,28
494,200436,4
495,106228,1
496,106232,2
497,106233,75
498,106234,0
499,104198,39
500,106247,0
501,206600,0
502,106249,3
503,106250,5
504,106252,3
505,200460,3
506,200483,1
507,200484,5
508,104229,0
509,104233,3
510,106281,4
511,106283,4
512,122669,3
513,206642,1
514,106293,0
515,126774,73
516,106296,4
517,106298,46
518,104251,1
519,104252,17
520,137018,0
521,106302,0
522,200514,1
523,104259,48
524,132932,0
525,104269,61
526,200526,0
527,106324,2
528,106325,1
529,106328,3
530,106329,20
531,106331,0
532,106333,1
533,104291,44
534,104297,16
535,200553,0
536,106348,1
537,206703,0
538,106353,2
539,104308,1
540,104312,47
541,106361,3
542,206716,0
543,126845,1
544,126846,1
545,200574,1
546,106368,14
547,104327,0
548,106378,58
549,106388,0
550,106391,2
551,106393,1
552,133018,0
553,106396,1
554,106397,6
555,106398,1
556,206748,0
557,206750,0
558,106401,39
559,200611,1
560,200615,5
561,106408,0
562,106410,1
563,200619,1
564,200620,2
565,106412,3
566,106415,21
567,206768,1
568,200624,1
569,106421,65
570,106423,9
571,106426,3
572,106432,60
573,104386,0
574,110536,2
575,120792,1
576,126939,1
577,200670,0
578,126952,2
579,104424,0
580,126964,0
