,winner,number_of_matches
0,200711,1
1,110602,11
2,104460,4
3,104467,5
4,104468,57
5,208937,0
6,104494,3
7,206909,0
8,104527,34
9,104534,16
10,104542,12
11,110686,0
12,104545,56
13,104547,25
14,104563,1
15,104571,29
16,104586,6
17,104593,1
18,104597,1
19,110748,0
20,104607,23
21,127143,3
22,104620,9
23,133297,4
24,104629,6
25,127157,0
26,209080,0
27,110778,0
28,208043,0
29,108739,1
30,104655,33
31,104656,1
32,104660,9
33,104665,14
34,108763,1
35,209119,0
36,104672,2
37,108772,0
38,104678,19
39,104719,9
40,104731,67
41,207134,0
42,104735,0
43,207139,3
44,100644,77
45,209188,0
46,104745,49
47,104755,59
48,133430,63
49,127300,1
50,207176,1
51,209225,0
52,209226,0
53,207182,0
54,209238,0
55,104792,50
56,104797,33
57,127326,0
58,104804,0
59,104810,1
60,127339,1
61,104868,0
62,104871,47
63,104882,10
64,104890,9
65,104897,9
66,104898,55
67,104901,0
68,104907,2
69,104918,13
70,104919,47
71,104925,65
72,104926,70
73,104932,2
74,104947,1
75,109054,3
76,104970,1
77,104978,1
78,104999,48
79,207400,1
80,207401,0
81,111153,1
82,105011,0
83,105015,6
84,207415,1
85,207421,1
86,105023,46
87,111167,2
88,121411,1
89,105030,2
90,105041,27
91,127570,1
92,111190,1
93,111192,1
94,105051,41
95,105053,4
96,111197,2
97,111200,14
98,111202,47
99,105062,43
100,105063,2
101,105064,6
102,105065,18
103,117353,0
104,117356,3
105,117360,0
106,105074,22
107,105077,49
108,207479,1
109,105085,2
110,105091,0
111,105111,1
112,207518,0
113,105132,13
114,105138,53
115,105147,1
116,121531,0
117,105155,4
118,105156,1
119,105163,1
120,105166,14
121,105173,56
122,105208,15
123,207608,0
124,105216,32
125,105217,3
126,105223,61
127,105226,2
128,105227,65
129,105238,10
130,105254,0
131,207669,0
132,105273,1
133,207680,0
134,105292,2
135,111442,12
136,105299,1
137,133975,5
138,133979,0
139,111453,0
140,105311,53
141,111456,22
142,111459,1
143,111460,5
144,125802,22
145,123755,5
146,131951,0
147,105332,55
148,105334,0
149,123768,1
150,207738,1
151,105339,0
152,105341,20
153,205695,0
154,105349,6
155,105357,38
156,105359,5
157,111505,0
158,125842,0
159,123795,1
160,111511,10
161,111513,29
162,111515,1
163,105373,29
164,105376,48
165,105379,38
166,103333,27
167,205734,1
168,105385,15
169,207797,0
170,105406,0
171,105413,5
172,209866,0
173,209867,0
174,209868,0
175,209869,0
176,209870,0
177,209871,0
178,209872,0
179,209873,0
180,209874,0
181,105430,35
182,111575,66
183,105432,7
184,111577,33
185,111576,2
186,111578,1
187,105436,2
188,111581,12
189,207836,1
190,111574,1
191,105434,0
192,105441,4
193,134114,1
194,134120,1
195,105449,51
196,207852,0
197,105453,64
198,105464,0
199,105467,1
200,105477,8
201,105479,1
202,105487,6
203,123921,6
204,105493,1
205,105497,3
206,105499,2
207,105502,1
208,128034,18
209,121896,0
210,105515,1
211,105526,48
212,105539,36
213,109640,0
214,134217,1
215,103499,3
216,105550,47
