,winner,number_of_matches
455,126609,2
456,126612,0
457,126613,1
458,200343,1
459,106137,2
460,106138,1
461,202400,1
462,106148,76
463,122533,0
464,106150,4
465,200368,1
466,122548,5
467,106167,2
468,104122,9
469,126652,8
470,106174,1
471,106175,4
472,200384,4
473,106177,2
474,200390,2
475,126663,0
476,106186,6
477,122570,1
478,200401,1
479,134868,6
480,208597,1
481,106198,33
482,106203,1
483,202462,2
484,106210,67
485,134886,1
486,106214,9
487,106216,17
488,106218,16
489,202475,1
490,106220,8
491,106223,3
492,106227,1
493,104180,28
494,200436,5
495,106228,53
496,106232,4
497,106233,167
498,106234,2
499,104198,55
500,106247,0
501,206600,0
502,106249,8
503,106250,5
504,106252,3
505,200460,4
506,200483,1
507,200484,12
508,104229,0
509,104233,4
510,106281,4
511,106283,6
512,122669,8
513,206642,1
514,106293,5
515,126774,182
516,106296,21
517,106298,88
518,104251,1
519,104252,17
520,137018,2
521,106302,0
522,200514,7
523,104259,93
524,132932,1
525,104269,120
526,200526,1
527,106324,2
528,106325,1
529,106328,3
530,106329,45
531,106331,1
532,106333,1
533,104291,69
534,104297,18
535,200553,2
536,106348,1
537,206703,2
538,106353,3
539,104308,1
540,104312,97
541,106361,3
542,206716,1
543,126845,1
544,126846,1
545,200574,2
546,106368,21
547,104327,19
548,106378,107
549,106388,1
550,106391,2
551,106393,2
552,133018,0
553,106396,1
554,106397,8
555,106398,5
556,206748,0
557,206750,1
558,106401,82
559,200611,4
560,200615,38
561,106408,0
562,106410,1
563,200619,1
564,200620,2
565,106412,6
566,106415,75
567,206768,1
568,200624,4
569,106421,173
570,106423,16
571,106426,77
572,106432,126
573,104386,18
574,110536,4
575,120792,1
576,126939,2
577,200670,2
578,126952,24
579,104424,4
580,126964,0
