,number_of_matches,number_of_players
0,0,236
1,1,119
2,2,45
3,3,22
4,4,15
5,5,12
6,6,13
7,7,7
8,8,6
9,9,4
10,10,5
11,11,3
12,12,4
13,13,3
14,14,6
15,15,6
16,16,4
17,17,3
18,18,3
19,19,4
20,20,7
21,21,5
22,22,5
23,23,8
24,24,0
25,25,1
26,26,3
27,27,2
28,28,6
29,29,1
30,30,5
31,31,5
32,32,2
33,33,1
34,34,2
35,35,1
36,36,0
37,37,0
38,38,1
39,39,1
40,40,0
41,41,1
42,42,1
43,43,0
44,44,1
45,45,0
46,46,1
47,47,0
48,48,0
49,49,0
50,50,0
