,winner,number_of_matches
455,126609,1
456,126612,0
457,126613,0
458,200343,1
459,106137,2
460,106138,0
461,202400,1
462,106148,39
463,122533,0
464,106150,1
465,200368,1
466,122548,1
467,106167,0
468,104122,3
469,126652,4
470,106174,0
471,106175,0
472,200384,0
473,106177,0
474,200390,0
475,126663,0
476,106186,1
477,122570,1
478,200401,0
479,134868,4
480,208597,1
481,106198,28
482,106203,1
483,202462,0
484,106210,21
485,134886,0
486,106214,4
487,106216,9
488,106218,6
489,202475,1
490,106220,3
491,106223,2
492,106227,1
493,104180,0
494,200436,1
495,106228,43
496,106232,1
497,106233,67
498,106234,0
499,104198,16
500,106247,0
501,206600,0
502,106249,4
503,106250,0
504,106252,0
505,200460,1
506,200483,0
507,200484,7
508,104229,0
509,104233,0
510,106281,0
511,106283,1
512,122669,2
513,206642,0
514,106293,4
515,126774,79
516,106296,13
517,106298,42
518,104251,0
519,104252,0
520,137018,2
521,106302,0
522,200514,4
523,104259,43
524,132932,1
525,104269,53
526,200526,1
527,106324,0
528,106325,0
529,106328,0
530,106329,17
531,106331,0
532,106333,0
533,104291,23
534,104297,2
535,200553,2
536,106348,0
537,206703,2
538,106353,1
539,104308,0
540,104312,43
541,106361,0
542,206716,0
543,126845,0
544,126846,0
545,200574,0
546,106368,7
547,104327,17
548,106378,39
549,106388,1
550,106391,0
551,106393,0
552,133018,0
553,106396,0
554,106397,1
555,106398,3
556,206748,0
557,206750,0
558,106401,37
559,200611,3
560,200615,31
561,106408,0
562,106410,0
563,200619,0
564,200620,0
565,106412,3
566,106415,40
567,206768,0
568,200624,0
569,106421,80
570,106423,7
571,106426,56
572,106432,50
573,104386,18
574,110536,2
575,120792,0
576,126939,1
577,200670,0
578,126952,14
579,104424,2
580,126964,0
